cname1,ccode1,territor,river,maritime,milex_i,milper_i,cinc_i,domrel_i,englishlanguage_i,frenchlanguage_i,arabiclanguage_i,spanishlanguage_i,navaltonnage_i,jointigo,same_major_relig,corr_relig,ptacnt,capitaldistance,centdistance,mindistance,polity2_i,xrreg_i,xrcomp_i,xropen_i,xconst_i,parreg_i,parcomp_i,exrec_i,exconst_i,polcomp_i,gdp_i,gdpcap_i,pop_i,infantmortality_i,fdiingdp_i,fdioutgdp_i,aidgni_i,fuelexports_i,r_eastasia,r_europe,r_latin,r_me,r_none,r_na,r_southasia,r_africa,migration_ij,migration_ji,trade_ij,expfob_ij,expfob_ji
PAPUA NEW GUINEA,910,0,0,0,42607.1164021164,3.6538172,.0002037107142857,1,1,0,0,0,0,.8851096,.61712694,.6218650711812163,.21611229,12363.381,12089.358,10940.271,15,2,2,4,5,1,0,7,5,4,7908998958.695351,1740.417248788668,4532781.82558579,65.27273242630267,3.084421838230354,.0024404748141969,10.23035786020701,10.95342642309677,1,0,0,0,0,0,0,0,1802137,4250374,83204506170.41213,39874364108.37193,32804172121.99376
PARAGUAY,150,0,0,0,61914.57138997703,16.462246,.0003836083749831,1,0,0,0,1,0,16.299879,.60031462,.6019038834282758,.12470653,10188.574,10217.141,9338.9844,9.0018911,2.0774012,1.5043901,4,3.262326,3.1460218,2.3147373,4.7853575,3.262326,4.0226936,8935074373.078655,2182.432688174346,3780693.649466433,43.06731054977561,1.03442326679366,.113067118289394,.994094162457362,13.86317495609807,0,0,1,0,0,0,0,0,4127349,4423722,75438914214.45558,27625227580.07775,54349297982.6095
PERU,135,.00015060241,.1414156626506024,.00015060241,726667.6816155613,105.71012,.0029919171146832,1,0,0,0,1,51711.78225043901,20.155342,.60031462,.6023055461775903,.35368043,10672.888,10465.844,9179.8252,13.461975,-3.8526273,-4.0861812,-3.0873971,-2.0460625,-3.423342,-3.5374849,.34837228,-2.0460625,-.89774418,64825527229.14722,3339.653057613799,19450696.67107929,69.89042280156804,1.569148972993226,.0570762156699836,.9877554365186774,7.830245156987979,0,0,1,0,0,0,0,0,6689986,8104280,317234529996.3171,146390962874.3229,137337677739.6945
PHILIPPINES,840,0,0,0,736913.917736053,101.81615,.0047236860191814,1,1,0,0,0,6978.246225319396,1.1938404,.60031462,.6166630677088988,.23090734,10312.29,10206.958,9306.585,13.248008,.63636363,.33783603,1.9121977,2.2811022,.69269216,.78657299,4.3287854,2.2811022,3.7221396,84590055172.20213,1477.620616009747,55561123.25543699,45.41842496285145,1.056086204394051,.2463458896209488,1.295874360817548,1.311388946486799,1,0,0,0,0,0,0,0,9555651,6959451,1170041867552.87,439693163752,575928579984.3518
POLAND,290,0,.007078313253012,0,4606649.2752938,309.05661,.0121627915439684,1,0,0,0,0,12645.59556936377,16.87586,.60031462,.6024928026487231,.11642038,6051.4175,6049.5078,5244.0195,10.677023,2.3813319,1.808321,4,4.4277997,3.4552209,2.4519789,5.0892882,4.4277997,4.5869241,289876330506.1138,7553.335971175634,35962409.36863434,20.67214642712442,2.73248072476132,.2018908299958624,0,8.19231744964179,0,1,0,0,0,0,0,0,9678235,7697295,1628555503376.475,452131813597.1799,789711882392.5162
PORTUGAL,235,0,.0316265060240964,0,1299943.762663785,111.97798,.0020583303390517,1,0,0,0,0,25631.78414156423,20.20289,.60031462,.6020089191525263,.60074574,6286.4619,6271.0664,5216.749,15.812103,-.87153858,-1.1168445,.33391869,1.613535,1.048764,.31284615,2.947994,1.613535,3.8870728,139900616612.4363,14144.48165196352,9696891.870863164,25.96713494529295,1.568116284299002,1.184207750098309,0,2.523901081525426,0,1,0,0,0,0,0,0,8909593,6004694,1192400432068.313,383633459395.8232,712068923082.0524
QATAR,694,0,0,0,741962.4844361286,8.4521179,.000607913573737,2,0,0,1,0,0,4.0120769,.23992838,.2731687829598545,.2815046,6572.3975,6531.8306,6030.2661,1,3,1,1,1,4,1,1,1,1,43055344315.57112,61882.97506049292,432221.2502126212,20.8092022452797,1.165781090116372,.0923921973791146,.0317562666444606,92.3532828305747,0,0,0,1,0,0,0,0,2591829,5459863,263795243391.5943,168941338919.5436,72531701805.85164
ROMANIA,360,0,.0010542168674699,0,1762230.383628259,198.57126,.0068319966905309,1,0,0,0,0,12955.27324156138,14.039173,.60031462,.6041580086146913,.19210054,5903.5239,5918.749,5144.3345,9.5189791,.19032824,-.38268271,1.8873429,1.7600973,1.0792922,.021342698,2.7834661,1.7600973,1.8945023,115654521215.8848,5186.900622548425,21670685.85586924,28.78697188073987,2.608409256830287,.034888323713604,0,8.983917590983879,0,1,0,0,0,0,0,0,7784372,2895458,722222180166.144,247564175805.879,300366616419.3615
RUSSIAN FEDERATION,365,0,.0703313253012048,0,116281693.7749561,2847.2737,.1260266327569934,0,0,0,0,0,2115786.43482372,12.116574,.60031462,.6545517871629756,.073056206,6363.1523,7845.77,3822.5562,8.5084429,2,1.4040254,4,3.4269891,3.2829933,2.1421046,4.6161017,3.4269891,3.9097662,1063745729466.818,7240.177196590114,139990427.6433878,20.32126278201526,1.092642861170383,.9627133528070597,0,49.58083659844675,0,1,0,0,0,0,0,0,9568762,1602774,3656611454436.129,1594265979089.873,803234861650.5322
RWANDA,517,0,0,0,48732.35580048043,20.917196,.0004053629504027,1,1,1,0,0,0,7.3844848,.60358691,.631938407849669,.50916702,6799.1802,6800.9819,6242.9458,5.1062598,1.3710612,.18991098,.75964391,1.4034195,3.6485798,1.5413311,3.9912393,1.4034195,2.2725732,2107228129.49246,350.1978100182288,5912916.045075597,115.3140031086627,.5393590909641561,0,17.48002777992765,.0437750462256519,0,0,0,0,0,0,0,1,4229276,5107773,10985826767.63776,2685029502.724298,5204852033.979517
